PARKID,NAME,AKA,CITY,STATE,START,END,LEAGUE,NOTES
OMA01,TD Ameritrade Park,,Omaha,NE,06/13/2019,06/13/2019,,
LON01,London Stadium,,London,UK,06/29/2019,06/30/2019,,
