GameID,ID
MIA201504290,313
MIN201504290,314
NYA201504290,315
OAK201504290,316
SDN201504290,317
SLN201504290,318
TEX201504290,319
ATL201504300,320
CLE201504300,321
HOU201504300,322
KCA201504300,323
MIN201504300,324
NYN201504300,325
OAK201504300,326
SLN201504300,327
ATL201505010,328
BAL201505010,329
BOS201505010,330
CHN201505010,331
CLE201505010,332
HOU201505010,333
KCA201505010,334
LAN201505010,335
MIA201505010,336
MIN201505010,337
NYN201505010,338
SDN201505010,339
SFN201505010,340
SLN201505010,341
TEX201505010,342
ATL201505020,343
BAL201505020,344
BOS201505020,345
CHN201505020,346
CLE201505020,347
HOU201505020,348
KCA201505020,349
LAN201505020,350
MIA201505020,351
MIN201505020,352
NYN201505020,353
SDN201505020,354
SFN201505020,355
SLN201505020,356
TEX201505020,357
ATL201505030,358
BAL201505030,359
BOS201505030,360
CHN201505030,361
CLE201505030,362
HOU201505030,363
KCA201505030,364
LAN201505030,365
MIA201505030,366
MIN201505030,367
NYN201505030,368
SDN201505030,369
SFN201505030,370
SLN201505030,371
TEX201505030,372
ANA201505040,373
ATL201505040,374
BOS201505040,375
HOU201505040,376
MIL201505040,377
MIN201505040,378
SFN201505040,379
SLN201505040,380
TOR201505040,381
WAS201505040,382
ANA201505050,383
ATL201505050,384
BOS201505050,385
CHA201505050,386
HOU201505050,387
KCA201505050,388
MIL201505050,389
MIN201505050,390
NYN201505050,391
PIT201505050,392
SFN201505050,393
SLN201505050,394
TOR201505050,395
WAS201505050,396
ANA201505060,397
ATL201505060,398
BOS201505060,399
CHA201505060,400
COL201505061,401
COL201505062,402
HOU201505060,403
KCA201505060,404
MIL201505060,405
MIN201505060,406
NYN201505060,407
PIT201505060,408
SFN201505060,409
SLN201505060,410
TOR201505060,411
WAS201505060,412
ANA201505070,413
ARI201505070,414
CHA201505070,415
KCA201505070,416
MIL201505070,417
MIN201505070,418
NYA201505070,419
PIT201505070,420
SFN201505070,421
SLN201505070,422
TBA201505070,423
ANA201505080,424
ARI201505080,425
CLE201505080,426
COL201505080,427
DET201505080,428
MIL201505080,429
NYA201505080,430
PHI201505080,431
PIT201505080,432
SEA201505080,433
SFN201505080,434
TBA201505080,435
TOR201505080,436
WAS201505080,437
ANA201505090,438
ARI201505090,439
CHA201505091,440
CHA201505092,441
CLE201505090,442
DET201505090,443
MIL201505090,444
NYA201505090,445
PHI201505090,446
PIT201505090,447
SEA201505090,448
SFN201505090,449
TBA201505090,450
TOR201505090,451
WAS201505090,452
ANA201505100,453
ARI201505100,454
CHA201505100,455
CLE201505100,456
COL201505100,457
DET201505100,458
MIL201505100,459
NYA201505100,460
PHI201505100,461
PIT201505100,462
SEA201505100,463
SFN201505100,464
TBA201505100,465
TOR201505100,466
WAS201505100,467
ARI201505110,468
BAL201505110,469
CHN201505110,470
CIN201505110,471
LAN201505110,472
MIL201505110,473
OAK201505110,474
PHI201505110,475
TBA201505110,476
TEX201505110,477
ANA201505120,478
ARI201505120,479
BAL201505120,480
CHN201505120,481
CIN201505120,482
CLE201505120,483
DET201505120,484
HOU201505120,485
LAN201505120,486
MIL201505120,487
OAK201505120,488
PHI201505120,489
SEA201505120,490
TBA201505120,491
TEX201505120,492
ANA201505130,493
ARI201505130,494
BAL201505130,495
CHN201505130,496
CIN201505130,497
CLE201505130,498
DET201505130,499
HOU201505130,500
LAN201505130,501
MIL201505130,502
OAK201505130,503
PHI201505130,504
SEA201505130,505
TBA201505130,506
TEX201505130,507
CHN201505140,508
CIN201505140,509
CLE201505140,510
DET201505140,511
HOU201505140,512
LAN201505140,513
PHI201505140,514
SDN201505140,515
SEA201505140,516
TBA201505140,517
TEX201505140,518
BAL201505150,519
CHN201505150,520
CIN201505150,521
HOU201505150,522
KCA201505150,523
LAN201505150,524
MIA201505150,525
MIN201505150,526
NYN201505150,527
OAK201505150,528
PHI201505150,529
SDN201505150,530
SEA201505150,531
SLN201505150,532
TEX201505150,533
BAL201505160,534
CHN201505160,535
CIN201505160,536
HOU201505160,537
KCA201505160,538
LAN201505160,539
MIA201505160,540
MIN201505160,541
NYN201505160,542
OAK201505160,543
PHI201505160,544
SDN201505160,545
SEA201505160,546
SLN201505160,547
TEX201505160,548
BAL201505170,549
CHN201505170,550
CIN201505170,551
HOU201505170,552
KCA201505170,553
LAN201505170,554
MIA201505170,555
MIN201505170,556
NYN201505170,557
OAK201505170,558
PHI201505170,559
SDN201505170,560
SEA201505170,561
SLN201505170,562
TEX201505170,563
CHA201505180,564
COL201505180,565
DET201505180,566
HOU201505180,567
MIA201505180,568
NYN201505180,569
TOR201505180,570
ATL201505190,571
BAL201505190,572
BOS201505190,573
CHA201505190,574
COL201505190,575
DET201505190,576
HOU201505190,577
KCA201505190,578
MIA201505190,579
NYN201505190,580
PIT201505190,581
SDN201505190,582
SFN201505190,583
TOR201505190,584
WAS201505190,585
ATL201505200,586
BAL201505200,587
BOS201505200,588
CHA201505200,589
COL201505200,590
DET201505200,591
HOU201505200,592
KCA201505200,593
MIA201505200,594
NYN201505200,595
PIT201505200,596
SDN201505200,597
SFN201505200,598
TOR201505200,599
WAS201505200,600
ATL201505210,601
BAL201505210,602
BOS201505210,603
CHA201505210,604
COL201505210,605
DET201505210,606
MIA201505210,607
NYN201505210,608
SDN201505210,609
SFN201505210,610
TBA201505210,611
TOR201505210,612
ARI201505220,613
ATL201505220,614
BOS201505220,615
CHA201505220,616
CLE201505220,617
COL201505220,618
DET201505220,619
KCA201505220,620
LAN201505220,621
MIA201505220,622
NYA201505220,623
PIT201505220,624
TBA201505220,625
TOR201505220,626
WAS201505220,627
ARI201505230,628
ATL201505230,629
BOS201505230,630
CHA201505230,631
CLE201505230,632
COL201505231,633
COL201505232,634
DET201505230,635
KCA201505230,636
LAN201505230,637
MIA201505230,638
NYA201505230,639
PIT201505230,640
TBA201505230,641
TOR201505230,642
WAS201505230,643
ARI201505240,644
ATL201505240,645
BOS201505240,646
CHA201505240,647
CLE201505240,648
COL201505240,649
DET201505240,650
KCA201505240,651
LAN201505240,652
MIA201505240,653
NYA201505240,654
PIT201505240,655
TBA201505240,656
TOR201505240,657
WAS201505240,658
ANA201505250,659
BAL201505250,660
CHN201505250,661
CIN201505250,662
CLE201505250,663
LAN201505250,664
MIL201505250,665
MIN201505250,666
NYA201505250,667
NYN201505250,668
OAK201505250,669
PIT201505250,670
SLN201505250,671
TBA201505250,672
TOR201505250,673
ANA201505260,674
BAL201505260,675
CHN201505260,676
CIN201505260,677
CLE201505260,678
LAN201505260,679
MIL201505260,680
MIN201505260,681
NYA201505260,682
NYN201505260,683
OAK201505260,684
PIT201505260,685
SLN201505260,686
TBA201505260,687
TOR201505260,688
ANA201505270,689
BAL201505270,690
CHN201505270,691
CIN201505270,692
CLE201505270,693
LAN201505270,694
MIL201505270,695
MIN201505270,696
NYA201505270,697
NYN201505270,698
OAK201505270,699
PIT201505270,700
SLN201505270,701
TBA201505270,702
TOR201505270,703
ANA201505280,704
BAL201505281,705
BAL201505282,706
OAK201505280,707
SDN201505280,708
SEA201505280,709
SFN201505280,710
TEX201505280,711
ANA201505290,712
BAL201505290,713
CHN201505290,714
CIN201505290,715
HOU201505290,716
MIL201505290,717
MIN201505290,718
NYN201505290,719
OAK201505290,720
PHI201505290,721
SDN201505290,722
SEA201505290,723
SFN201505290,724
SLN201505290,725
TEX201505290,726
ANA201505300,727
BAL201505300,728
CIN201505300,729
HOU201505300,730
MIL201505300,731
MIN201505300,732
NYN201505300,733
OAK201505300,734
PHI201505300,735
SDN201505300,736
SEA201505300,737
SFN201505300,738
SLN201505300,739
TEX201505300,740
ANA201505310,741
BAL201505310,742
CHN201505310,743
CIN201505310,744
HOU201505310,745
MIL201505310,746
MIN201505310,747
NYN201505310,748
OAK201505310,749
PHI201505310,750
SDN201505310,751
SEA201505310,752
SFN201505310,753
SLN201505310,754
TEX201505310,755
ANA201506010,756
ARI201506010,757
COL201506010,758
HOU201506010,759
MIA201506010,760
SDN201506010,761
SEA201506010,762
SFN201506010,763
SLN201506010,764
ANA201506020,765
ARI201506020,766
BOS201506020,767
COL201506021,768
COL201506022,769
DET201506020,770
HOU201506020,771
KCA201506020,772
MIA201506020,773
PHI201506020,774
SDN201506020,775
SEA201506020,776
SFN201506020,777
SLN201506020,778
TEX201506020,779
WAS201506021,780
WAS201506022,781
ANA201506030,782
ARI201506030,783
BOS201506031,784
BOS201506032,785
COL201506030,786
DET201506030,787
HOU201506030,788
KCA201506030,789
MIA201506030,790
PHI201506030,791
SDN201506030,792
SEA201506030,793
SFN201506030,794
SLN201506030,795
TEX201506030,796
WAS201506030,797
ARI201506040,798
BOS201506040,799
DET201506040,800
HOU201506040,801
KCA201506040,802
LAN201506040,803
PHI201506040,804
SEA201506040,805
TEX201506040,806
WAS201506040,807
ARI201506050,808
ATL201506050,809
BOS201506050,810
CHA201506050,811
CIN201506050,812
CLE201506050,813
COL201506050,814
KCA201506050,815
LAN201506050,816
MIN201506050,817
NYA201506050,818
PHI201506050,819
SEA201506050,820
TOR201506050,821
