ParkID,ID
ALB01,0
ALT01,1
ANA01,2
ARL01,3
ARL02,4
ARL03,5
ATL01,6
ATL02,7
ATL03,8
BAL01,9
BAL02,10
BAL03,11
BAL04,12
BAL05,13
BAL06,14
BAL07,15
BAL09,16
BAL10,17
BAL11,18
BAL12,19
BOS01,20
BOS02,21
BOS03,22
BOS04,23
BOS05,24
BOS06,25
BOS07,26
BOS08,27
BUF01,28
BUF02,29
BUF03,30
BUF04,31
BUF05,32
CAN01,33
CAN02,34
CHI01,35
CHI02,36
CHI03,37
CHI04,38
CHI05,39
CHI06,40
CHI07,41
CHI08,42
CHI09,43
CHI10,44
CHI11,45
CHI12,46
CIN01,47
CIN02,48
CIN03,49
CIN04,50
CIN05,51
CIN06,52
CIN07,53
CIN08,54
CIN09,55
CLE01,56
CLE02,57
CLE03,58
CLE04,59
CLE05,60
CLE06,61
CLE07,62
CLE08,63
CLE09,64
CLL01,65
COL01,66
COL02,67
COL03,68
COL04,69
COV01,70
DAY01,71
DEN01,72
DEN02,73
DET01,74
DET02,75
DET03,76
DET04,77
DET05,78
DOV01,79
ELM01,80
FOR01,81
FOR02,82
FOR03,83
FTB01,84
GEA01,85
GLO01,86
GLO02,87
GRA01,88
HAR01,89
HON01,90
HOU01,91
HOU02,92
HOU03,93
HRT01,94
HRT02,95
IND01,96
IND02,97
IND03,98
IND04,99
IND05,100
IND06,101
IND07,102
IRO01,103
JER01,104
JER02,105
KAN01,106
KAN02,107
KAN03,108
KAN04,109
KAN05,110
KAN06,111
KEO01,112
LAS01,113
LBV01,114
LOS01,115
LOS02,116
LOS03,117
LOU01,118
LOU02,119
LOU03,120
LOU04,121
LUD01,122
MAS01,123
MIA01,124
MIA02,125
MID01,126
MIL01,127
MIL02,128
MIL03,129
MIL04,130
MIL05,131
MIL06,132
MIN01,133
MIN02,134
MIN03,135
MIN04,136
MNT01,137
MON01,138
MON02,139
NEW01,140
NEW02,141
NEW03,142
NWK01,143
NYC01,144
NYC02,145
NYC03,146
NYC04,147
NYC05,148
NYC06,149
NYC07,150
NYC08,151
NYC09,152
NYC10,153
NYC11,154
NYC12,155
NYC13,156
NYC14,157
NYC15,158
NYC16,159
NYC17,160
NYC18,161
NYC19,162
NYC20,163
NYC21,164
OAK01,165
PEN01,166
PHI01,167
PHI02,168
PHI03,169
PHI04,170
PHI05,171
PHI06,172
PHI07,173
PHI08,174
PHI09,175
PHI10,176
PHI11,177
PHI12,178
PHI13,179
PHI14,180
PHO01,181
PIT01,182
PIT02,183
PIT03,184
PIT04,185
PIT05,186
PIT06,187
PIT07,188
PIT08,189
PRO01,190
PRO02,191
RCK01,192
RIC01,193
RIC02,194
ROC01,195
ROC02,196
ROC03,197
SAI01,198
SAN01,199
SAN02,200
SEA01,201
SEA02,202
SEA03,203
SFO01,204
SFO02,205
SFO03,206
SJU01,207
SPR01,208
STL01,209
STL02,210
STL03,211
STL04,212
STL05,213
STL06,214
STL07,215
STL08,216
STL09,217
STL10,218
STP01,219
SYD01,220
SYR01,221
SYR02,222
SYR03,223
THR01,224
TOK01,225
TOL01,226
TOL02,227
TOL03,228
TOL04,229
TOR01,230
TOR02,231
TRO01,232
TRO02,233
WAR01,234
WAS01,235
WAS02,236
WAS03,237
WAS04,238
WAS05,239
WAS06,240
WAS07,241
WAS08,242
WAS09,243
WAS10,244
WAS11,245
WAT01,246
WAV01,247
WEE01,248
WHE01,249
WIL01,250
WIL02,251
WNY01,252
WOR01,253
WOR02,254
WOR03,255
OMA01,256
LON01,257
